proxy,status
50.222.245.44:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88434110>, 'Connection to 50.222.245.44 timed out. (connect timeout=5)'))"
50.174.7.152:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88434710>, 'Connection to 50.174.7.152 timed out. (connect timeout=5)'))"
50.168.210.226:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF882D0F50>, 'Connection to 50.168.210.226 timed out. (connect timeout=5)'))"
50.217.226.41:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88434650>, 'Connection to 50.217.226.41 timed out. (connect timeout=5)'))"
107.1.93.213:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8844B290>, 'Connection to 107.1.93.213 timed out. (connect timeout=5)'))"
50.217.226.45:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8845E6D0>, 'Connection to 50.217.226.45 timed out. (connect timeout=5)'))"
50.221.230.186:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF885F67D0>, 'Connection to 50.221.230.186 timed out. (connect timeout=5)'))"
50.172.23.10:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88420850>, 'Connection to 50.172.23.10 timed out. (connect timeout=5)'))"
107.1.93.219:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF8841BE90>, 'Connection to 107.1.93.219 timed out. (connect timeout=5)'))"
50.204.219.224:80,"Error: HTTPSConnectionPool(host='www.hiperlibertad.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001CF88638AD0>, 'Connection to 50.204.219.224 timed out. (connect timeout=5)'))"
